s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 6.0000000E+000, 2.1000702E+001, 9.9999756E-001, 4.3689980E-007, 0.0000000E+000, 2.3648140E-001
 1.2000000E+001, 2.2000702E+001, 9.9999475E-001, 5.0176175E-007, 0.0000000E+000, 2.3662616E-001
 1.8000000E+001, 2.3000702E+001, 9.9999154E-001, 5.7570463E-007, 0.0000000E+000, 2.3679122E-001
 2.4000000E+001, 2.4000702E+001, 9.9998778E-001, 6.5992026E-007, 0.0000000E+000, 2.3697925E-001
 3.0000000E+001, 2.5000702E+001, 9.9998355E-001, 7.5574559E-007, 0.0000000E+000, 2.3719312E-001
 3.6000000E+001, 2.6000702E+001, 9.9997872E-001, 8.6467912E-007, 0.0000000E+000, 2.3743623E-001
 4.2000000E+001, 2.7000702E+001, 9.9997318E-001, 9.8839814E-007, 0.0000000E+000, 2.3771234E-001
 4.8000000E+001, 2.8000700E+001, 9.9996680E-001, 1.1287785E-006, 0.0000000E+000, 2.3802558E-001
 5.4000000E+001, 2.9000700E+001, 9.9995959E-001, 1.2879157E-006, 0.0000000E+000, 2.3838061E-001
 6.0000000E+001, 3.0000700E+001, 9.9995130E-001, 1.4681473E-006, 0.0000000E+000, 2.3878270E-001
 6.6000000E+001, 3.1000700E+001, 9.9994189E-001, 1.6720790E-006, 0.0000000E+000, 2.3923762E-001
 7.2000000E+001, 3.2000698E+001, 9.9993122E-001, 1.9026105E-006, 0.0000000E+000, 2.3975183E-001
 7.8000000E+001, 3.3000698E+001, 9.9991900E-001, 2.1629655E-006, 0.0000000E+000, 2.4033248E-001
 8.4000000E+001, 3.4000698E+001, 9.9990517E-001, 2.4567232E-006, 0.0000000E+000, 2.4098754E-001
 9.0000000E+001, 3.5000698E+001, 9.9988943E-001, 2.7878505E-006, 0.0000000E+000, 2.4172588E-001
 9.6000000E+001, 3.6000698E+001, 9.9987161E-001, 3.1607397E-006, 0.0000000E+000, 2.4255721E-001
 1.0200000E+002, 3.7000698E+001, 9.9985141E-001, 3.5802443E-006, 0.0000000E+000, 2.4349244E-001
 1.0800000E+002, 3.8000698E+001, 9.9982858E-001, 4.0517202E-006, 0.0000000E+000, 2.4454334E-001
 1.1400000E+002, 3.9000698E+001, 9.9980271E-001, 4.5810662E-006, 0.0000000E+000, 2.4572314E-001
 1.2000000E+002, 4.0000694E+001, 9.9977344E-001, 5.1747656E-006, 0.0000000E+000, 2.4704622E-001
 1.2600000E+002, 4.1000694E+001, 9.9974042E-001, 5.8399328E-006, 0.0000000E+000, 2.4852836E-001
 1.3200000E+002, 4.2000694E+001, 9.9970323E-001, 6.5843510E-006, 0.0000000E+000, 2.5018689E-001
 1.3800000E+002, 4.3000694E+001, 9.9966127E-001, 7.4165196E-006, 0.0000000E+000, 2.5204068E-001
